,a1,a2,a3,a4,C,fitness
364,0.0,0.125,-1.0,0.5,-0.125,2
365,0.0,0.125,-1.0,0.5,-0.125,2
366,0.0,0.125,-1.0,0.5,-0.125,1
367,0.0,0.125,-1.0,0.5,-0.125,1
368,0.0,0.125,-1.0,0.5,-0.125,1
369,0.0,0.125,-1.0,0.5,-0.125,2
370,0.0,0.125,-1.0,0.5,-0.125,1
371,0.0,0.125,-1.0,0.5,-0.125,3
372,0.0,0.125,-1.0,0.5,-0.125,1
373,0.0,0.125,-1.0,0.5,-0.125,2
374,0.0,0.125,-1.0,0.5,-0.125,12
375,-0.5,0.125,-1.0,0.5,-0.125,0
376,0.0,0.125,-1.0,0.5,-0.125,1
377,0.0,0.125,-1.0,0.5,-0.125,4
378,0.0,0.125,-1.0,0.5,-0.125,2
379,0.0,0.125,-1.0,0.5,-0.125,1
380,0.0,0.125,-1.0,0.875,-0.125,0
381,0.0,0.125,-1.0,0.125,-0.125,0
382,0.0,0.125,-1.0,0.875,-0.125,0
383,0.0,0.0,-1.0,0.125,-0.125,0
384,0.0,-0.375,-1.0,0.125,-0.125,1
385,0.0,0.0,-1.0,0.25,-0.125,6
386,0.0,0.0,-1.0,0.75,-0.125,1
387,0.0,0.0,-1.0,0.875,-0.125,0
388,0.0,0.0,-1.0,0.625,-0.125,1
389,0.0,0.0,-1.0,0.25,-0.125,1
390,0.0,0.0,-1.0,0.125,0.375,0
391,0.0,0.125,-1.0,0.0,-0.125,0
392,0.0,0.0,-1.0,0.75,-0.125,1
393,0.0,0.125,-1.0,0.875,-0.125,3
394,0.0,0.0,-1.0,0.125,-0.125,1
395,0.0,0.125,-1.0,0.625,-0.125,2
396,0.0,-0.375,-1.0,0.0,0.375,0
397,0.0,0.125,-1.0,0.875,-0.125,0
398,0.0,0.0,-1.0,0.875,-0.125,1
399,0.0,0.125,-1.0,0.875,-0.125,0
400,0.0,0.0,-1.0,0.5,-0.125,4
401,0.0,0.0,-1.0,0.5,-0.125,2
402,0.0,0.0,-1.0,0.5,-0.125,4
403,0.0,0.0,-1.0,0.5,-0.125,1
404,0.0,0.0,-1.0,0.5,-0.125,3
405,0.0,0.0,-1.0,0.5,-0.125,4
406,0.0,0.0,-1.0,0.5,-0.125,5
407,-0.75,0.0,-1.0,0.5,-0.125,0
408,0.125,0.0,-1.0,0.5,-0.125,5
409,0.0,0.0,-1.0,0.5,-0.125,2
410,0.125,0.0,-1.0,0.5,-0.125,4
411,-0.375,0.0,-1.0,0.5,-0.125,0
412,0.0,0.0,-1.0,0.5,-0.125,1
413,0.125,0.0,-1.0,0.5,-0.125,7
414,0.0,0.0,-1.0,0.5,-0.125,4
415,0.0,0.0,-1.0,0.5,-0.125,9
416,0.125,0.0,-1.0,0.5,-0.125,3
417,0.125,0.0,-1.0,0.5,-0.125,2
418,0.0,0.0,-1.0,0.5,-0.125,1
419,0.0,0.0,-1.0,0.5,-0.125,7
420,0.0,0.125,-1.0,0.625,-0.125,11
421,-0.375,0.125,-1.0,0.625,-0.125,0
422,0.125,0.125,-1.0,0.625,-0.125,1
423,0.0,0.125,-1.0,0.5,-0.125,1
424,-0.375,0.125,-1.0,0.625,-0.125,0
425,0.125,0.0,-1.0,0.625,-0.125,5
426,0.0,0.125,-1.0,0.625,-0.125,10
427,0.0,0.0,-1.0,0.5,-0.125,1
428,0.0,0.0,-1.0,0.5,-0.125,3
429,0.0,0.125,-1.0,0.25,-0.125,1
430,0.0,0.125,-1.0,0.5,-0.125,4
431,0.0,0.0,-1.0,0.5,-0.125,3
432,0.0,0.125,-1.0,0.625,-0.125,1
433,0.125,0.125,-1.0,0.625,-0.125,2
434,0.0,0.125,-1.0,0.5,-0.125,3
435,0.125,0.125,-1.0,0.625,-0.125,1
436,0.0,0.125,-1.0,0.625,-0.125,3
437,0.125,0.0,-1.0,0.5,-0.125,3
438,0.125,0.125,-1.0,0.5,-0.125,6
439,0.0,0.0,-1.0,0.5,-0.125,1
440,0.0,0.0,-1.0,0.5,0.375,0
441,0.0,0.0,-1.0,0.5,-0.125,1
442,0.0,0.0,-1.0,0.5,-0.125,1
443,0.0,0.0,-1.0,0.5,-0.125,5
444,0.0,0.0,-1.0,0.5,-0.125,1
