,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,fitness
650,0.625,-0.125,0.125,-0.875,0.75,-0.375,0.75,0.875,-0.75,-1.0,0.5,-1.0,-0.125,0.875,-0.375,-0.625,0.875,-0.875,-0.125,0
651,0.875,-0.25,0.5,-0.875,0.625,0.375,0.5,0.5,0.25,0.0,0.5,-1.0,-0.25,0.5,0.25,-1.0,-0.125,-0.875,-0.125,0
652,0.625,-0.125,0.375,-1.0,0.75,0.5,0.75,0.625,-0.875,0.0,0.5,-1.0,0.75,0.5,-0.375,-0.75,0.75,-0.875,-0.125,0
653,0.875,-0.125,0.0,-0.875,0.75,0.75,0.5,0.625,-0.625,0.0,0.5,-1.0,-0.125,0.125,0.125,-0.625,-0.25,-0.625,-0.125,0
654,0.5,-0.25,0.625,-1.0,0.75,-0.125,-0.5,0.5,0.375,0.0,0.75,-0.75,0.875,0.5,0.125,-1.0,-0.25,-0.875,-0.125,1
655,0.625,-0.25,-0.25,-0.875,0.5,0.625,-0.25,0.625,0.375,0.0,0.5,-1.0,0.875,0.875,0.875,-1.0,-0.25,-0.875,-0.125,0
656,0.75,-0.125,0.5,-0.875,0.75,-0.375,0.5,0.375,-0.625,-1.0,0.5,-1.0,-0.25,0.25,0.875,-0.5,0.875,-0.625,-0.125,2
657,0.875,-0.125,0.0,-0.875,0.75,-0.5,-0.25,0.625,-1.0,-1.0,0.75,-0.75,0.875,0.75,0.375,-0.75,-0.125,-0.875,-0.125,0
658,0.75,-0.25,0.25,-1.0,0.75,-0.5,0.25,0.75,0.125,-1.0,0.75,-1.0,-0.25,0.125,-0.375,-0.875,0.75,-0.875,-0.125,0
659,0.75,-0.125,0.875,-1.0,0.75,0.875,0.75,0.5,0.0,0.0,0.5,-0.75,-0.25,0.625,-0.375,-0.625,-0.25,-0.75,-0.125,1
660,0.25,-0.625,0.25,-1.0,-0.75,0.75,-0.5,0.625,-0.875,0.0,0.625,-0.875,0.75,-0.25,0.25,-0.875,0.875,-0.25,0.125,0
661,0.25,-0.125,0.25,-1.0,0.25,0.75,0.5,0.625,-1.0,0.0,0.25,-0.875,0.75,-0.125,-0.75,-0.875,0.875,-0.25,0.125,0
662,0.25,-0.625,0.25,-1.0,-1.0,0.75,-0.25,0.625,-0.75,0.0,0.625,-0.875,0.25,-0.25,0.25,-0.875,0.875,-0.5,0.0,1
663,0.25,-0.125,0.25,-1.0,-0.875,0.75,0.25,0.625,-0.875,0.0,0.125,-0.875,0.25,-0.125,-0.75,-0.875,0.875,-0.5,0.0,0
664,0.25,-0.125,0.25,-1.0,0.125,0.75,0.25,0.625,-0.875,0.0,0.625,-0.75,0.25,-0.125,0.5,-0.875,0.875,-0.25,0.125,0
665,0.5,-0.125,0.25,-1.0,0.25,0.75,-0.25,0.625,-1.0,0.0,0.125,-0.875,0.25,-0.125,0.5,-0.875,0.875,-0.75,0.125,1
666,0.25,-0.125,0.25,-1.0,-1.0,0.75,-0.5,0.625,-1.0,0.0,0.125,-0.875,0.25,-0.25,0.25,-0.875,0.875,-0.75,0.0,0
667,0.25,-0.625,0.25,-1.0,0.375,0.75,-0.75,0.625,-0.875,0.0,0.125,-1.0,0.25,-0.125,-0.25,-0.875,0.875,-0.25,0.0,1
668,-0.25,-0.125,0.25,-1.0,-0.75,0.75,0.0,0.75,-0.875,0.0,0.625,-0.875,0.25,-0.125,0.25,-0.875,0.875,0.0,0.125,0
669,0.25,-0.125,0.25,-1.0,0.0,0.75,0.25,0.625,-0.875,0.0,0.625,-0.875,0.75,-0.125,0.25,-0.875,0.875,-0.25,0.125,1
670,0.25,-0.625,0.25,-1.0,-0.75,0.75,-0.25,0.625,-1.0,0.0,0.625,-1.0,0.625,-0.25,0.25,-0.875,0.875,-0.5,0.0,0
671,0.25,-0.125,0.25,-1.0,-0.75,0.625,0.5,0.625,-1.0,0.0,0.625,-0.875,0.25,-0.25,0.25,-0.875,0.875,-0.5,0.0,0
672,0.25,-0.625,0.25,-1.0,-1.0,0.75,0.125,0.625,-1.0,0.0,0.625,-0.875,0.75,-0.125,-0.75,-0.875,0.875,-0.5,0.0,0
